TransactionID,Date,StoreLocation,ProductCategory,Quantity,UnitValue,TotalRevenue,DeliveryDelayDays,CustomerRating,SentimentLabel
TXN-100000,2024-01-01,Melbourne Chadstone,Bracelets,1,579.95,579.95,0,3,Neutral
TXN-100001,2024-01-01,Online Flagship,Necklaces & Pendants,1,2842.79,2842.79,2,5,Positive
TXN-100002,2024-01-01,Online Flagship,Luxury Watches,1,20575.11,20575.11,3,5,Positive
TXN-100003,2024-01-01,Brisbane Queen St,Earrings,1,1981.84,1981.84,0,4,Positive
TXN-100004,2024-01-01,Sydney CBD,Necklaces & Pendants,1,4234.54,4234.54,0,4,Positive
TXN-100005,2024-01-01,Sydney CBD,Earrings,1,2700.29,2700.29,0,4,Positive
TXN-100006,2024-01-01,Sydney CBD,Luxury Watches,1,27398.82,27398.82,0,5,Positive
TXN-100007,2024-01-01,Online Flagship,Earrings,1,1203.03,1203.03,0,4,Positive
TXN-100008,2024-01-01,Perth Hay St,Necklaces & Pendants,1,2508.38,2508.38,0,5,Positive
TXN-100009,2024-01-01,Online Flagship,Necklaces & Pendants,1,2492.73,2492.73,0,3,Neutral
TXN-100010,2024-01-01,Sydney CBD,Bracelets,1,2276.27,2276.27,0,5,Positive
TXN-100011,2024-01-01,Online Flagship,Necklaces & Pendants,2,1482.76,2965.52,5,4,Positive
TXN-100012,2024-01-01,Online Flagship,Earrings,1,1999.68,1999.68,1,3,Neutral
TXN-100013,2024-01-01,Sydney CBD,Earrings,1,636.57,636.57,0,5,Positive
TXN-100014,2024-01-01,Sydney CBD,Luxury Watches,1,26319.01,26319.01,0,4,Positive
TXN-100015,2024-01-01,Sydney CBD,Earrings,1,631.87,631.87,0,4,Positive
TXN-100016,2024-01-01,Melbourne Chadstone,Necklaces & Pendants,1,3470.66,3470.66,0,5,Positive
TXN-100017,2024-01-01,Brisbane Queen St,Earrings,1,1173.77,1173.77,0,5,Positive
TXN-100018,2024-01-01,Melbourne Chadstone,Earrings,1,1694.47,1694.47,0,5,Positive
TXN-100019,2024-01-01,Melbourne Chadstone,Necklaces & Pendants,1,1757.24,1757.24,0,4,Positive
TXN-100020,2024-01-01,Perth Hay St,Necklaces & Pendants,1,978.77,978.77,0,5,Positive
TXN-100021,2024-01-01,Sydney CBD,Earrings,1,2600.09,2600.09,0,5,Positive
TXN-100022,2024-01-01,Melbourne Chadstone,Earrings,1,1422.2,1422.2,0,3,Neutral
TXN-100023,2024-01-01,Melbourne Chadstone,Earrings,2,961.15,1922.3,0,3,Neutral
TXN-100024,2024-01-01,Brisbane Queen St,Luxury Watches,1,16738.91,16738.91,0,5,Positive
TXN-100025,2024-01-01,Online Flagship,Earrings,1,867.41,867.41,4,3,Neutral
TXN-100026,2024-01-01,Sydney CBD,Necklaces & Pendants,1,727.99,727.99,0,5,Positive
TXN-100027,2024-01-01,Brisbane Queen St,Earrings,2,2046.04,4092.08,0,3,Neutral
TXN-100028,2024-01-01,Brisbane Queen St,Luxury Watches,1,24909.03,24909.03,0,5,Positive
TXN-100029,2024-01-01,Sydney CBD,Necklaces & Pendants,1,4758.36,4758.36,0,5,Positive
TXN-100030,2024-01-01,Perth Hay St,Earrings,1,2235.45,2235.45,0,5,Positive
TXN-100031,2024-01-01,Sydney CBD,Necklaces & Pendants,1,3838.66,3838.66,0,4,Positive
TXN-100032,2024-01-01,Sydney CBD,Bracelets,1,903.17,903.17,0,4,Positive
TXN-100033,2024-01-01,Online Flagship,Earrings,1,642.73,642.73,4,4,Positive
TXN-100034,2024-01-01,Online Flagship,Bracelets,3,789.16,2367.48,5,3,Neutral
TXN-100035,2024-01-01,Online Flagship,Necklaces & Pendants,1,2338.45,2338.45,3,4,Positive
TXN-100036,2024-01-01,Melbourne Chadstone,Engagement Rings,1,19280.1,19280.1,13,5,Positive
TXN-100037,2024-01-01,Sydney CBD,Earrings,2,1727.77,3455.54,0,3,Neutral
TXN-100038,2024-01-01,Perth Hay St,Necklaces & Pendants,3,1406.88,4220.64,0,5,Positive
TXN-100039,2024-01-01,Melbourne Chadstone,Necklaces & Pendants,1,658.86,658.86,0,5,Positive
TXN-100040,2024-01-01,Sydney CBD,Earrings,1,573.85,573.85,0,5,Positive
TXN-100041,2024-01-01,Brisbane Queen St,Earrings,1,452.68,452.68,0,5,Positive
TXN-100042,2024-01-01,Sydney CBD,Engagement Rings,1,31662.8,31662.8,17,5,Positive
TXN-100043,2024-01-01,Online Flagship,Earrings,1,596.33,596.33,2,4,Positive
TXN-100044,2024-01-01,Melbourne Chadstone,Necklaces & Pendants,1,3501.83,3501.83,0,3,Neutral
TXN-100045,2024-01-01,Perth Hay St,Earrings,1,535.62,535.62,0,4,Positive
TXN-100046,2024-01-01,Melbourne Chadstone,Necklaces & Pendants,1,2483.34,2483.34,0,5,Positive
TXN-100047,2024-01-01,Brisbane Queen St,Necklaces & Pendants,1,1651.44,1651.44,0,5,Positive
TXN-100048,2024-01-01,Brisbane Queen St,Earrings,1,1733.15,1733.15,0,5,Positive
TXN-100049,2024-01-01,Sydney CBD,Earrings,1,683.28,683.28,0,5,Positive
TXN-100050,2024-01-01,Online Flagship,Necklaces & Pendants,1,2854.46,2854.46,1,4,Positive
TXN-100051,2024-01-01,Online Flagship,Earrings,1,1557.5,1557.5,2,4,Positive
TXN-100052,2024-01-01,Online Flagship,Necklaces & Pendants,1,2111.81,2111.81,7,3,Neutral
TXN-100053,2024-01-01,Online Flagship,Bracelets,1,1654.48,1654.48,2,5,Positive
TXN-100054,2024-01-01,Brisbane Queen St,Earrings,1,623.35,623.35,0,4,Positive
TXN-100055,2024-01-01,Online Flagship,Earrings,1,2083.13,2083.13,4,5,Positive
TXN-100056,2024-01-01,Sydney CBD,Necklaces & Pendants,1,3210.93,3210.93,0,4,Positive
TXN-100057,2024-01-01,Sydney CBD,Luxury Watches,1,6190.65,6190.65,0,5,Positive
TXN-100058,2024-01-02,Sydney CBD,Necklaces & Pendants,1,4587.16,4587.16,0,5,Positive
TXN-100059,2024-01-02,Melbourne Chadstone,Necklaces & Pendants,1,2990.51,2990.51,0,4,Positive
TXN-100060,2024-01-02,Melbourne Chadstone,Necklaces & Pendants,3,1189.35,3568.0499999999997,0,5,Positive
TXN-100061,2024-01-02,Melbourne Chadstone,Luxury Watches,1,7932.0,7932.0,0,5,Positive
TXN-100062,2024-01-02,Online Flagship,Earrings,1,749.11,749.11,1,4,Positive
TXN-100063,2024-01-02,Melbourne Chadstone,Engagement Rings,1,11759.07,11759.07,13,4,Positive
TXN-100064,2024-01-02,Melbourne Chadstone,Bracelets,2,945.41,1890.82,0,5,Positive
TXN-100065,2024-01-02,Brisbane Queen St,Luxury Watches,1,19411.39,19411.39,0,4,Positive
TXN-100066,2024-01-02,Sydney CBD,Bracelets,1,2131.4,2131.4,0,5,Positive
TXN-100067,2024-01-02,Online Flagship,Bracelets,1,1006.71,1006.71,4,3,Neutral
TXN-100068,2024-01-02,Sydney CBD,Necklaces & Pendants,3,4650.59,13951.77,0,4,Positive
TXN-100069,2024-01-02,Online Flagship,Bracelets,1,430.2,430.2,3,4,Positive
TXN-100070,2024-01-02,Online Flagship,Bracelets,1,2182.54,2182.54,5,4,Positive
TXN-100071,2024-01-02,Sydney CBD,Engagement Rings,3,23431.67,70295.01,9,5,Positive
TXN-100072,2024-01-02,Sydney CBD,Bracelets,1,1959.9,1959.9,0,3,Neutral
TXN-100073,2024-01-02,Online Flagship,Engagement Rings,1,21540.57,21540.57,2,5,Positive
TXN-100074,2024-01-02,Online Flagship,Luxury Watches,1,13705.79,13705.79,2,5,Positive
TXN-100075,2024-01-02,Online Flagship,Earrings,1,2382.25,2382.25,4,3,Neutral
TXN-100076,2024-01-02,Online Flagship,Engagement Rings,1,23562.2,23562.2,3,4,Positive
TXN-100077,2024-01-02,Sydney CBD,Luxury Watches,1,14417.33,14417.33,0,4,Positive
TXN-100078,2024-01-02,Melbourne Chadstone,Bracelets,1,2636.14,2636.14,0,5,Positive
TXN-100079,2024-01-02,Sydney CBD,Bracelets,1,2984.42,2984.42,0,5,Positive
TXN-100080,2024-01-02,Online Flagship,Earrings,1,2003.69,2003.69,1,5,Positive
TXN-100081,2024-01-02,Perth Hay St,Necklaces & Pendants,3,2795.24,8385.72,0,5,Positive
TXN-100082,2024-01-02,Melbourne Chadstone,Bracelets,1,511.02,511.02,0,5,Positive
TXN-100083,2024-01-02,Sydney CBD,Luxury Watches,1,25324.55,25324.55,0,5,Positive
TXN-100084,2024-01-02,Melbourne Chadstone,Bracelets,1,2525.67,2525.67,0,4,Positive
TXN-100085,2024-01-02,Melbourne Chadstone,Necklaces & Pendants,1,4234.05,4234.05,0,4,Positive
TXN-100086,2024-01-02,Online Flagship,Bracelets,1,749.78,749.78,3,4,Positive
TXN-100087,2024-01-02,Perth Hay St,Earrings,1,2414.52,2414.52,0,5,Positive
TXN-100088,2024-01-02,Online Flagship,Bracelets,2,2910.81,5821.62,3,4,Positive
TXN-100089,2024-01-02,Brisbane Queen St,Bracelets,1,1578.81,1578.81,0,5,Positive
TXN-100090,2024-01-02,Sydney CBD,Bracelets,1,652.72,652.72,0,4,Positive
TXN-100091,2024-01-02,Online Flagship,Earrings,3,1668.09,5004.2699999999995,5,4,Positive
TXN-100092,2024-01-02,Online Flagship,Bracelets,1,2028.24,2028.24,3,5,Positive
TXN-100093,2024-01-02,Brisbane Queen St,Earrings,1,1467.33,1467.33,0,5,Positive
TXN-100094,2024-01-02,Online Flagship,Luxury Watches,1,10219.18,10219.18,0,5,Positive
TXN-100095,2024-01-02,Brisbane Queen St,Earrings,1,458.0,458.0,0,5,Positive
TXN-100096,2024-01-02,Brisbane Queen St,Luxury Watches,1,15372.39,15372.39,0,4,Positive
TXN-100097,2024-01-02,Melbourne Chadstone,Bracelets,3,1216.85,3650.5499999999997,0,4,Positive
TXN-100098,2024-01-02,Sydney CBD,Engagement Rings,1,8788.69,8788.69,11,4,Positive
TXN-100099,2024-01-02,Sydney CBD,Bracelets,1,984.21,984.21,0,4,Positive
TXN-100100,2024-01-02,Sydney CBD,Necklaces & Pendants,2,4028.24,8056.48,0,5,Positive
TXN-100101,2024-01-02,Perth Hay St,Luxury Watches,1,20741.48,20741.48,0,4,Positive
TXN-100102,2024-01-02,Melbourne Chadstone,Bracelets,1,2395.81,2395.81,0,4,Positive
TXN-100103,2024-01-02,Brisbane Queen St,Engagement Rings,1,7274.84,7274.84,12,4,Positive
TXN-100104,2024-01-02,Online Flagship,Necklaces & Pendants,1,942.34,942.34,4,3,Neutral
TXN-100105,2024-01-02,Sydney CBD,Earrings,2,894.5,1789.0,0,4,Positive
TXN-100106,2024-01-02,Melbourne Chadstone,Necklaces & Pendants,1,4417.48,4417.48,0,5,Positive
TXN-100107,2024-01-02,Online Flagship,Necklaces & Pendants,1,1599.6,1599.6,5,4,Positive
TXN-100108,2024-01-02,Sydney CBD,Earrings,2,2592.14,5184.28,0,5,Positive
TXN-100109,2024-01-02,Sydney CBD,Bracelets,1,2325.27,2325.27,0,5,Positive
TXN-100110,2024-01-02,Melbourne Chadstone,Luxury Watches,1,3602.39,3602.39,0,3,Neutral
TXN-100111,2024-01-02,Sydney CBD,Luxury Watches,1,15095.27,15095.27,0,4,Positive
TXN-100112,2024-01-02,Online Flagship,Necklaces & Pendants,1,3844.39,3844.39,4,5,Positive
TXN-100113,2024-01-02,Online Flagship,Necklaces & Pendants,2,754.13,1508.26,4,3,Neutral
TXN-100114,2024-01-02,Perth Hay St,Necklaces & Pendants,1,2939.64,2939.64,0,4,Positive
TXN-100115,2024-01-02,Online Flagship,Necklaces & Pendants,1,1781.9,1781.9,3,5,Positive
TXN-100116,2024-01-02,Online Flagship,Earrings,1,740.61,740.61,1,5,Positive
TXN-100117,2024-01-02,Sydney CBD,Bracelets,1,1951.43,1951.43,0,5,Positive
TXN-100118,2024-01-02,Online Flagship,Luxury Watches,1,20511.37,20511.37,1,5,Positive
TXN-100119,2024-01-02,Brisbane Queen St,Luxury Watches,1,20128.4,20128.4,0,5,Positive
TXN-100120,2024-01-02,Online Flagship,Earrings,1,683.23,683.23,3,5,Positive
TXN-100121,2024-01-02,Online Flagship,Engagement Rings,1,15445.48,15445.48,0,4,Positive
TXN-100122,2024-01-03,Melbourne Chadstone,Earrings,1,1066.03,1066.03,0,4,Positive
TXN-100123,2024-01-03,Sydney CBD,Necklaces & Pendants,1,4177.59,4177.59,0,5,Positive
TXN-100124,2024-01-03,Sydney CBD,Necklaces & Pendants,1,2733.58,2733.58,0,5,Positive
TXN-100125,2024-01-03,Melbourne Chadstone,Necklaces & Pendants,1,2000.96,2000.96,0,5,Positive
TXN-100126,2024-01-03,Online Flagship,Necklaces & Pendants,1,3720.66,3720.66,2,3,Neutral
TXN-100127,2024-01-03,Online Flagship,Bracelets,1,2716.48,2716.48,4,3,Neutral
TXN-100128,2024-01-03,Sydney CBD,Bracelets,1,1366.02,1366.02,0,4,Positive
TXN-100129,2024-01-03,Brisbane Queen St,Necklaces & Pendants,2,4440.98,8881.96,0,4,Positive
TXN-100130,2024-01-03,Melbourne Chadstone,Earrings,1,1478.61,1478.61,0,4,Positive
TXN-100131,2024-01-03,Sydney CBD,Engagement Rings,1,7543.55,7543.55,17,4,Positive
TXN-100132,2024-01-03,Sydney CBD,Earrings,1,1215.05,1215.05,0,5,Positive
TXN-100133,2024-01-03,Melbourne Chadstone,Earrings,1,1497.35,1497.35,0,5,Positive
TXN-100134,2024-01-03,Online Flagship,Engagement Rings,1,29794.84,29794.84,4,5,Positive
TXN-100135,2024-01-03,Melbourne Chadstone,Luxury Watches,1,18602.29,18602.29,0,5,Positive
TXN-100136,2024-01-03,Brisbane Queen St,Luxury Watches,1,7389.13,7389.13,0,4,Positive
TXN-100137,2024-01-03,Online Flagship,Luxury Watches,3,12321.2,36963.600000000006,2,4,Positive
TXN-100138,2024-01-03,Melbourne Chadstone,Earrings,2,516.32,1032.64,0,4,Positive
TXN-100139,2024-01-03,Online Flagship,Bracelets,1,2680.95,2680.95,1,5,Positive
